Name,Description,Quantity,Unit Cost,Total Cost,URL,Notes
"Raspberry Pi 5 (8GB RAM)","Main controller for AprilTag detection.",1,80.00,80.00,"https://www.adafruit.com/product/5815",""
"Raspberry Pi 5 27W USB-C Power Supply","Official power supply for RPi5.",1,15.00,15.00,"https://www.adafruit.com/product/5828",""
"SanDisk Extreme 32GB microSD Card (A2 rated)","High-speed storage for OS and AprilTag data.",1,10.00,10.00,"https://www.adafruit.com/product/4908",""
"OV5640 USB Camera Module","Affordable 5MP USB camera for overhead tracking.",1,25.00,25.00,"https://www.amazon.com/ELP-OV5640-Camera-Autofocus-Industrial/dp/B08V8R3R3T",""
"Powered USB 3.0 Hub (7-port)","Provides stable power and data for camera and robot charging.",1,30.00,30.00,"https://www.amazon.com/AmazonBasics-Port-USB-Power-Adapter/dp/B0797P1Z5J",""
"EVA Foam Interlocking Floor Mats (24 sq ft, 6 tiles)","2x2m arena surface.",1,40.00,40.00,"https://www.amazon.com/ProSource-Exercise-Puzzle-Interlocking-Tiles/dp/B073R5X2V7",""
"Foam Pipe Insulation (2m length, 10cm diameter)","Soft, 10cm high borders for the arena.",8,4.00,32.00,"https://www.homedepot.com/s/foam%20pipe%20insulation","CORRECTED: $4/piece, not $32"
"PVC Pipe (1-inch Schedule 40, 10ft)","For camera mount structure and arena frame.",4,5.00,20.00,"https://www.homedepot.com/s/PVC%20pipe","CORRECTED: $5/10ft pipe"
"PVC Fittings (T-connectors, Elbows, Caps)","To assemble the PVC camera mount and frame.",1,15.00,15.00,"https://www.homedepot.com/s/PVC%20fittings",""
"Zip Ties / Velcro Cable Ties","For cable management.",1,5.00,5.00,"https://www.amazon.com/Reusable-Cable-Ties-Fastening-Organizing/dp/B07R9QG3M5",""
"USB Cables for robot charging (Micro USB / USB C)","Standard charging cables for robots.",2,10.00,20.00,"https://www.amazon.com/Anker-Powerline-Durability-Charger-Samsung/dp/B07V52QJ88",""
"5-Port Ethernet Switch","For network connectivity.",1,20.00,20.00,"https://www.amazon.com/TP-Link-5-Port-Gigabit-Ethernet-Switch/dp/B00A1SFMRM",""
"Ethernet Cable (Cat5e, 1m)","Connect RPi5 to Ethernet switch.",1,5.00,5.00,"https://www.amazon.com/AmazonBasics-RJ45-Cat6-Ethernet-Patch/dp/B07XQ9L1S2",""
"Construction Adhesive (e.g., Liquid Nails)","For securing foam borders to the arena frame.",1,8.00,8.00,"https://www.homedepot.com/s/construction%20adhesive",""
"Black Spray Paint (for borders)","Optional: to color foam borders black as per sumo rules.",1,7.00,7.00,"https://www.homedepot.com/s/black%20spray%20paint",""
"Printer Paper / Cardstock","For printing AprilTags.",1,5.00,5.00,"https://www.amazon.com/AmazonBasics-Multipurpose-Printer-Paper-500-sheet/dp/B07C64188P",""

TOTAL:,"","","","$337.00","","Very affordable DIY setup"
TODDLERBOTS (2×):,"","","","$12,000.00","","From Stanford replication guide"
GRAND TOTAL:,"","","","$12,337.00","","Complete Tier 0 validation arena"
CONTINGENCY (10%):,"","","","$123.00","","For unexpected issues/shipping"
TOTAL WITH CONTINGENCY:,"","","","$12,460.00","","Within $12.5k budget"

NOTES:,"","","","","","Minor corrections to 3e8 output:"
,"","","","","","- Foam pipe insulation pricing was slightly inflated"
,"","","","","","- PVC pipe pricing adjusted to current market"
,"","","","","","Overall estimate is excellent and realistic"
